Без бренда,644612,Груша Санта Мария,/products/grusha-santa-mariya-644612,289,289
Без бренда,481706,Свити весовое,/products/art-481706,319,319
Без бренда,524982,"Кокос, 1шт",/products/kokos-524982,119,119
Без бренда,644608,Хурма Королек,/products/hurma-korolek-644608,189,189
Без бренда,124020,"Физалис, 100г",/products/fizalis-100-g-124020,229,229
Без бренда,634826,"Салак, 200г",/products/salak,429,429
Без бренда,122868,"Карамбола, 100г",/products/karambola-100g-122868,289,289
Без бренда,586664,Айва весовая,/products/ajva-586664,359,359
Без бренда,126059,Папайя весовая,/products/lajm-kaffirnyj,1249,1249
Без бренда,315966,"Лонган Superfood Farm, 250г",/products/longan-315966,399,399
Без бренда,253825,"Рамбутан, 250г",/products/rambutan-200-g-253825,499,499
Без бренда,373688,"Авокадо Hass, 700г",/products/art-373688,679,679
Без бренда,119841,Авокадо Hass,/products/avokado-hass-119841,809,809
Без бренда,643798,"Авокадо Ready to Eat Hass 2шт, 300г",/products/art-643798,339,339
Без бренда,557333,"Лимон узбекский 2шт, 330г",/products/limony-uzbekskie-330-g,259,259
Без бренда,66566,Манго желтое,/products/mango-zheltoe-vesovoe-66566,419,419
Без бренда,44649,Помело весовое,/products/pomelo-44649,179,179
Без бренда,315430,"Маракуйя, 200г",/products/marakujya-315430,359,359
Без бренда,373721,"Ананас Ready to eat, 1.4кг",/products/ananas-ready-to-eat-373721,759,759
Без бренда,92160,"Авокадо Ready to Eat Hass 2шт, 300г",/products/avokado-hass-92160,339,339
Без бренда,404771,"Кумкват, 250г",/products/kumkvat-200g-404771,429,429
Без бренда,301205,"Мангостин, 250г",/products/mangostin-300-g,479,479
Без бренда,553744,Мандарины беби,/products/mandariny-otbornye-korzinka,269,269
Без бренда,549433,Хурма Свечка,/products/hurma-persimon-549433,229,229
Без бренда,272083,"Маракуйя желтая, 50г",/products/marakuyya-zheltaya-50g,459,459
Без бренда,315962,Мангостин Artfruit 250г,/products/mangostin-250-g-315962,589,589
ARTFRUIT,231727,Голубика Artfruit 125г,/products/golubika-artfruit-125g,389,389
ARTFRUIT,231742,Малина Artfruit 125г,/products/malina-artfruit-125g-231742,519,519
ARTFRUIT,269907,"Микс ягодный Artfruit сердце голубика и малина, 250г",/products/miks-yagodnyy-artfruit-serdtse-golubika-i-malina-250g,589,589
ARTFRUIT,231730,Голубика Artfruit 250г,/products/golubika-artfruit-250g-231730,779,779
ARTFRUIT,236412,Голубика Artfruit 500г,/products/500g-golubika-artfruit,1559,1559
